date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:37	277/277	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Oct%202019%2006:10:37%20GMT	https://demo.themex.co/robots.txt		(from )
11:40:38	33472/33472	---M-Z	200	added ('OK')	text/html	date:Thu,%2031%20Oct%202019%2006:10:37%20GMT	https://demo.themex.co/academy/	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/index.html	(from )
11:40:38	22078/22078	---M-Z	200	added ('OK')	text/xml	etag:%22fc07fe8b94eecdc1f45dcc47d46d2754-gzip%22	https://demo.themex.co/academy/feed	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/feed	(from https://demo.themex.co/academy/)
11:40:39	0/0	---M--	302	error ('Found')	text/html	etag:%223889a3f9681d402e428218f8255f9f8e%22	https://demo.themex.co/academy/comments/feed	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/comments/feed	(from https://demo.themex.co/academy/)
11:40:39	35321/35321	---M-Z	200	added ('OK')	text/html	date:Thu,%2031%20Oct%202019%2006:10:39%20GMT	https://demo.themex.co/academy/course/home-fitness-training	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/course/home-fitness-training.html	(from https://demo.themex.co/academy/)
11:40:40	737/737	---M-Z	200	added ('OK')	text/xml	etag:%223889a3f9681d402e428218f8255f9f8e-gzip%22	https://demo.themex.co/academy/home/feed	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/home/feed	(from https://demo.themex.co/academy/)
11:40:40	393/393	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Oct%202019%2006:10:40%20GMT	http://demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=2.2.7	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.43cae.delayed	(from https://demo.themex.co/academy/)
11:40:40	14214/14214	---M-Z	200	added ('OK')	text/css	etag:%223786-563232f0dba3c-gzip%22	https://demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=2.2.7	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce-layout3cae.css	(from https://demo.themex.co/academy/)
11:40:41	398/398	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Oct%202019%2006:10:40%20GMT	http://demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=2.2.7	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen3cae.css	(from https://demo.themex.co/academy/)
11:40:41	4439/4439	---M-Z	200	added ('OK')	text/css	etag:%221157-563232f11f05c-gzip%22	https://demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=2.2.7	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen3cae.css	(from https://demo.themex.co/academy/)
11:40:42	386/386	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Oct%202019%2006:10:41%20GMT	http://demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=2.2.7	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce3cae.css	(from https://demo.themex.co/academy/)
11:40:43	80160/80160	---M-Z	200	added ('OK')	text/css	etag:%2213920-563232f15c8bc-gzip%22	https://demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=2.2.7	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/plugins/woocommerce/assets/css/woocommerce3cae.css	(from https://demo.themex.co/academy/)
11:40:44	74114/74114	---M-Z	200	added ('OK')	text/css	etag:%2212182-5632512a1e4e4-gzip%22	https://demo.themex.co/academy/wp-content/themes/academy/style.css?ver=4.0.28	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/style3105.css	(from https://demo.themex.co/academy/)
11:40:44	95807/95807	---M-Z	200	added ('OK')	application/javascript	etag:%221763f-563229abd6554-gzip%22	https://demo.themex.co/academy/wp-includes/js/jquery/jquery.js?ver=1.11.1	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-includes/js/jquery/jquery90f9.js	(from https://demo.themex.co/academy/)
11:40:44	7200/7200	---M-Z	200	added ('OK')	application/javascript	etag:%221c20-563229ab2f573-gzip%22	https://demo.themex.co/academy/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-includes/js/jquery/jquery-migrate.min1576.js	(from https://demo.themex.co/academy/)
11:40:45	1472/1472	---M-Z	200	added ('OK')	application/javascript	etag:%225c0-56322d926c163-gzip%22	https://demo.themex.co/academy/wp-content/themes/academy/js/jquery.hoverIntent.min.js?ver=4.0.28	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/js/jquery.hoverIntent.min3105.js	(from https://demo.themex.co/academy/)
11:40:45	2162/2162	---M-Z	200	added ('OK')	application/javascript	etag:%22872-56322d9278c83-gzip%22	https://demo.themex.co/academy/wp-content/themes/academy/js/jquery.placeholder.min.js?ver=4.0.28	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/js/jquery.placeholder.min3105.js	(from https://demo.themex.co/academy/)
11:40:45	43764/43764	---M-Z	200	added ('OK')	application/javascript	etag:%22aaf4-56322d9a32523-gzip%22	https://demo.themex.co/academy/wp-content/themes/academy/js/jplayer/jquery.jplayer.min.js?ver=4.0.28	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/js/jplayer/jquery.jplayer.min3105.js	(from https://demo.themex.co/academy/)
11:40:45	5091/5091	---M-Z	200	added ('OK')	application/javascript	etag:%2213e3-5632516207c69-gzip%22	https://demo.themex.co/academy/wp-content/themes/academy/js/jquery.themexSlider.js?ver=4.0.28	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/js/jquery.themexSlider3105.js	(from https://demo.themex.co/academy/)
11:40:46	7590/7590	---M-Z	200	added ('OK')	application/javascript	etag:%221da6-56322d92b8423-gzip%22	https://demo.themex.co/academy/wp-content/themes/academy/js/jquery.raty.min.js?ver=4.0.28	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/js/jquery.raty.min3105.js	(from https://demo.themex.co/academy/)
11:40:46	11624/11624	---M-Z	200	added ('OK')	application/javascript	etag:%222d68-56322d9245063-gzip%22	https://demo.themex.co/academy/wp-content/themes/academy/js/general.js?ver=4.0.28	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/js/general3105.js	(from https://demo.themex.co/academy/)
11:40:47	768/768	---M-Z	200	added ('OK')	text/xml	date:Thu,%2031%20Oct%202019%2006:10:46%20GMT	https://demo.themex.co/academy/xmlrpc.php?rsd	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/xmlrpc0db0.php	(from https://demo.themex.co/academy/)
11:40:47	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-5632298a7f2bb-gzip%22	https://demo.themex.co/academy/wp-includes/wlwmanifest.xml	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-includes/wlwmanifest.xml	(from https://demo.themex.co/academy/)
11:40:47	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-56322d9d0dc43%22	https://demo.themex.co/academy/wp-content/themes/academy/framework/assets/images/favicon.ico	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/framework/assets/images/favicon.ico	(from https://demo.themex.co/academy/)
11:40:48	28140/28140	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226dec-56322d8e572a3%22	https://demo.themex.co/academy/wp-content/themes/academy/fonts/creteround-regular-webfont.eot	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/fonts/creteround-regular-webfont.eot	(from https://demo.themex.co/academy/)
11:40:48	28140/28140	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226dec-56322d8e572a3%22	https://demo.themex.co/academy/wp-content/themes/academy/fonts/creteround-regular-webfont.eot?	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/fonts/creteround-regular-webfontd41d.eot	(from https://demo.themex.co/academy/)
11:40:49	32296/32296	---M--	200	added ('OK')	application/font-woff	etag:%227e28-56322d8eddee3%22	https://demo.themex.co/academy/wp-content/themes/academy/fonts/creteround-regular-webfont.woff	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/fonts/creteround-regular-webfont.woff	(from https://demo.themex.co/academy/)
11:40:49	62084/62084	---M--	200	added ('OK')	application/font-sfnt	etag:%22f284-56322d8eaa2c3%22	https://demo.themex.co/academy/wp-content/themes/academy/fonts/creteround-regular-webfont.ttf	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/fonts/creteround-regular-webfont.ttf	(from https://demo.themex.co/academy/)
11:40:50	113073/113073	---M--	200	added ('OK')	image/svg+xml	etag:%221b9b1-56322d8ebcba3%22	https://demo.themex.co/academy/wp-content/themes/academy/fonts/creteround-regular-webfont.svg	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/fonts/creteround-regular-webfont.svg	(from https://demo.themex.co/academy/)
11:40:50	3819/3819	---M--	200	added ('OK')	image/png	etag:%22eeb-56322d912cc03%22	https://demo.themex.co/academy/wp-content/themes/academy/images/logo.png	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/wp-content/themes/academy/images/logo.png	(from https://demo.themex.co/academy/)
11:40:51	22070/22070	---M-Z	200	added ('OK')	text/html	date:Thu,%2031%20Oct%202019%2006:10:50%20GMT	https://demo.themex.co/academy/register	C:/Users/Dilan/Desktop/dddddddddddd/demo.themex.co/academy/register.html	(from https://demo.themex.co/academy/)
